Stock_Code,Date,Mean_Sentiment_Score
BHARTIARTL,8/5/2022,0.193266667
BHARTIARTL,8/8/2022,0.127266667
BPCL,2/10/2022,0.5994
BPCL,2/22/2022,-0.1115
BPCL,2/23/2022,0
BPCL,2/24/2022,0
BPCL,3/11/2022,0.5994
BPCL,3/22/2022,0.4817
BPCL,4/1/2022,0.5994
BPCL,4/19/2022,0
BPCL,4/20/2022,0.5994
BPCL,4/25/2022,0.4019
BPCL,5/18/2022,0.26495
BPCL,5/19/2022,-0.4019
BPCL,5/25/2022,0
BPCL,5/27/2022,0
BPCL,6/2/2022,0
BPCL,6/5/2022,0
BPCL,6/9/2022,0.5994
BPCL,6/22/2022,0.4019
BPCL,6/23/2022,0
BPCL,7/8/2022,0
BPCL,7/13/2022,0
BPCL,7/21/2022,0.5106
BPCL,8/1/2022,0
BPCL,8/8/2022,-0.5901
BRITANNIA,3/31/2022,0.5106
BRITANNIA,4/21/2022,0.4404
BRITANNIA,4/28/2022,0
BRITANNIA,5/2/2022,0.057733333
BRITANNIA,5/4/2022,0.133966667
BRITANNIA,5/5/2022,0.5994
BRITANNIA,6/6/2022,-0.5106
BRITANNIA,6/9/2022,0.2263
BRITANNIA,6/13/2022,0.4019
BRITANNIA,6/15/2022,0.2553
BRITANNIA,6/16/2022,0.4019
BRITANNIA,6/20/2022,0
BRITANNIA,6/22/2022,0
BRITANNIA,6/24/2022,0.296
BRITANNIA,6/26/2022,0
BRITANNIA,6/27/2022,0
BRITANNIA,7/3/2022,0
BRITANNIA,7/4/2022,0.5994
BRITANNIA,7/6/2022,0.4588
BRITANNIA,7/18/2022,0.5994
BRITANNIA,7/25/2022,0.5106
BRITANNIA,8/3/2022,0
BRITANNIA,8/4/2022,0
BRITANNIA,8/5/2022,-0.1591
CIPLA,5/2/2022,0.1531
CIPLA,5/10/2022,0
CIPLA,5/11/2022,0
CIPLA,6/1/2022,0.1366
CIPLA,6/2/2022,0.2732
CIPLA,6/6/2022,0
CIPLA,6/11/2022,0
