,Date,Stock_Code,ROC,ROC_10x,Outcome,Sentiment_Score_mean,News_Score
0,2022-07-27,TATACONSUM,0.003666645951152734,0.03666645951152734,1,0.029146645000000002,0.7235198616981506
1,2022-07-28,TATACONSUM,-0.005472382543224468,-0.054723825432244674,1,0.05797053866666667,0.0
2,2022-07-29,TATACONSUM,-0.009854055466387915,-0.09854055466387915,1,0.039897727181818186,0.0
3,2022-08-01,TATACONSUM,-0.008379332637127809,-0.08379332637127809,1,0.026050189374999998,0.0
4,2022-08-02,TATACONSUM,-0.0038218451225093468,-0.038218451225093465,-1,0.02514393936363636,0.0
5,2022-08-03,TATACONSUM,-0.002479216518242582,-0.02479216518242582,-1,0.007538419909090907,0.0
6,2022-08-04,TATACONSUM,0.02232214748473261,0.22322147484732607,-1,0.0038748736999999977,0.0
7,2022-08-05,TATACONSUM,0.02132435465768802,0.2132435465768802,-1,0.020541666666666666,0.0
8,2022-08-08,TATACONSUM,0.010935266233603405,0.10935266233603405,-1,0.02560037875,0.0
9,2022-08-10,TATACONSUM,0.0033534625130797247,0.033534625130797246,1,0.14100000000000001,0.4937751740217209
10,2022-08-11,TATACONSUM,0.015152479786082609,0.1515247978608261,1,0.0,0.9975239038467407
11,2022-07-26,TITAN,-0.14555754263620088,-1.4555754263620089,-1,-0.01,0.0
12,2022-07-27,TITAN,0.001858881031613764,0.01858881031613764,1,0.03421010102,-0.9995384216308594
13,2022-07-28,TITAN,-0.007595865432338494,-0.07595865432338494,1,0.03832313311,0.0
14,2022-07-29,TITAN,-0.01274080070270323,-0.1274080070270323,1,0.027646031740000004,0.0
15,2022-08-01,TITAN,-0.019001346518349504,-0.19001346518349504,-1,0.04076785353,0.98277747631073
16,2022-08-02,TITAN,-0.014747116313305955,-0.14747116313305955,1,0.02567748916,-0.7976916432380676
17,2022-08-03,TITAN,-0.018349165142486266,-0.18349165142486268,1,0.03530101009,0.0
18,2022-08-04,TITAN,-0.013799536529661172,-0.13799536529661172,1,0.00562467532,0.0
19,2022-08-05,TITAN,-0.010798525849568615,-0.10798525849568615,1,0.048312982675925924,-0.07849432528018951
20,2022-08-08,TITAN,-0.01073958569982858,-0.1073958569982858,1,0.0,0.48897532434463503
21,2022-08-10,TITAN,-0.0012013099215034777,-0.012013099215034777,1,0.030201899944444444,0.9317433834075928
22,2022-07-26,HINDUNILVR,0.01207034310493282,0.12070343104932821,-1,0.0,-0.5151064246892929
23,2022-07-27,HINDUNILVR,0.006995777150461324,0.06995777150461324,1,0.04985242728571428,-0.4592604637145996
24,2022-07-28,HINDUNILVR,-0.00669696888195595,-0.0669696888195595,1,0.071310606,0.0
25,2022-07-29,HINDUNILVR,-0.013593232975792112,-0.13593232975792113,1,0.027257575727272724,0.2202
26,2022-08-01,HINDUNILVR,0.0011209941793050818,0.011209941793050817,1,0.0187833333,0.5511
27,2022-08-02,HINDUNILVR,-0.008306741048539543,-0.08306741048539543,-1,0.042719696909090915,-0.3913017809391022
28,2022-08-03,HINDUNILVR,-0.0014986157823690682,-0.014986157823690682,1,0.0207833333,0.9966728687286377
29,2022-08-04,HINDUNILVR,-0.0015091520928050722,-0.015091520928050722,1,0.0510484848,0.0
30,2022-08-05,HINDUNILVR,-0.007544970844648404,-0.07544970844648403,-1,0.070069264,0.47205957770347595
31,2022-08-08,HINDUNILVR,-0.005039703305954345,-0.05039703305954345,-1,0.03473358583333333,-0.49905842542648315
32,2022-08-10,HINDUNILVR,-0.0016031410953662299,-0.016031410953662298,1,0.032,-0.9992954730987549
33,2022-08-11,HINDUNILVR,0.00847483346231474,0.0847483346231474,-1,0.0,-0.9986125230789185
34,2022-07-26,TATAMOTORS,0.5003001710408572,5.003001710408572,-1,0.022600446499999996,0.0
35,2022-07-27,TATAMOTORS,0.010804188015148064,0.10804188015148064,-1,0.06775252523809525,0.0
36,2022-07-28,TATAMOTORS,0.00925220664008243,0.0925220664008243,1,-0.0014975404090909082,0.175075
37,2022-07-29,TATAMOTORS,-0.00961106619958688,-0.09611066199586879,1,0.1500378086111111,0.171025
38,2022-08-01,TATAMOTORS,-0.06193905817174513,-0.6193905817174513,-1,0.1348194444285714,0.6488047380370179
39,2022-08-02,TATAMOTORS,-0.0392345124053506,-0.39234512405350597,-1,0.16834926470588235,0.08801663577556611
40,2022-08-03,TATAMOTORS,-0.010323528141333051,-0.10323528141333052,1,0.20408515872,0.16020281116167703
41,2022-08-04,TATAMOTORS,-0.0011743354329026465,-0.011743354329026465,-1,0.04266896231818182,0.494551420211792
42,2022-08-05,TATAMOTORS,0.013213710019513061,0.1321371001951306,1,0.08285763883333334,0.17995004634085082
43,2022-08-08,TATAMOTORS,0.00221611370367995,0.0221611370367995,1,0.032847853499999996,-0.23181241005659103
44,2022-08-10,TATAMOTORS,-0.013641692422466236,-0.13641692422466237,1,0.055,0.0
45,2022-08-11,TATAMOTORS,-0.012167671791387112,-0.12167671791387112,1,0.0,0.5583648681640625
46,2022-07-26,LT,-0.16080601862592378,-1.6080601862592379,1,0.1554782948888889,-0.051033333
47,2022-07-27,LT,-0.013539051702253687,-0.13539051702253688,1,0.1276766803548387,0.4031657536347707
48,2022-07-28,LT,-0.012012113244225634,-0.12012113244225633,1,0.05425405409523809,0.0
49,2022-07-29,LT,-0.011253236983550878,-0.11253236983550878,-1,0.08663590938888889,0.0
50,2022-08-01,LT,-0.011324245700464877,-0.11324245700464877,-1,0.032251479725490195,0.0
51,2022-08-02,LT,0.005375151158791773,0.05375151158791773,-1,0.06695317184615385,-0.10732032855351765
