Date,stock_code,Sentiment_Score
7/27/2022,ICICIBANK,0
7/27/2022,INDUSINDBK,0.015625
7/27/2022,INDUSINDBK,0
7/27/2022,INDUSINDBK,0
7/27/2022,INDUSINDBK,0.08
7/27/2022,INDUSINDBK,0
7/27/2022,INDUSINDBK,0.015625
7/27/2022,INDUSINDBK,0
7/27/2022,INDUSINDBK,0
7/27/2022,INDUSINDBK,0
7/27/2022,INFY,-1
7/27/2022,INFY,-0.7
7/27/2022,INFY,0.08
7/27/2022,INFY,0
7/27/2022,INFY,0.136363636
7/27/2022,INFY,0.136363636
7/27/2022,INFY,0.136363636
7/27/2022,INFY,0
7/27/2022,INFY,0.4
7/27/2022,INFY,0
7/27/2022,INFY,0.165151515
7/27/2022,INFY,0
7/27/2022,INFY,0.015625
7/27/2022,INFY,0
7/27/2022,INFY,0.015625
7/27/2022,ITC,-0.2
7/27/2022,ITC,0.33
7/27/2022,ITC,0.5
7/27/2022,ITC,0
7/27/2022,ITC,0
7/27/2022,ITC,0.288888889
7/27/2022,ITC,0.086666667
7/27/2022,ITC,-0.4
7/27/2022,ITC,0.579166667
7/27/2022,ITC,0
7/27/2022,ITC,-0.4
7/27/2022,ITC,-0.4
7/27/2022,ITC,0.165151515
7/27/2022,ITC,0.13
7/27/2022,ITC,-0.4
7/27/2022,ITC,0
7/27/2022,ITC,0.125
7/27/2022,ITC,-0.46875
7/27/2022,ITC,0.4
7/27/2022,ITC,0.25
7/27/2022,ITC,0.015625
7/27/2022,JSWSTEEL,0.015625
7/27/2022,JSWSTEEL,0.015625
7/27/2022,JSWSTEEL,0
7/27/2022,JSWSTEEL,0.015625
7/27/2022,JSWSTEEL,0.165151515
7/27/2022,JSWSTEEL,0.165151515
7/27/2022,JSWSTEEL,0.5
7/27/2022,JSWSTEEL,0
7/27/2022,JSWSTEEL,0.015625
7/27/2022,KOTAKBANK,0.015625
7/27/2022,KOTAKBANK,-0.036931818
7/27/2022,KOTAKBANK,0
7/27/2022,KOTAKBANK,0.08
7/27/2022,LT,0
7/27/2022,LT,0
7/27/2022,LT,0.5
7/27/2022,LT,0.015454545
7/27/2022,LT,0.515625
7/27/2022,LT,0
7/27/2022,LT,0.355555556
7/27/2022,LT,0.033333333
7/27/2022,LT,0.033333333
7/27/2022,LT,0.033333333
7/27/2022,LT,0
