,Stock_Code,DateOnly,Sentiment_Score
,,,mean
105,HINDALCO,2022-08-08,0.995337724685669
106,HINDALCO,2022-08-09,-0.9876114726066589
107,HINDUNILVR,2022-07-26,-0.5151064246892929
108,HINDUNILVR,2022-07-27,-0.9185209274291992
109,HINDUNILVR,2022-07-31,0.9981581568717957
110,HINDUNILVR,2022-08-02,-0.7826035618782043
111,HINDUNILVR,2022-08-03,0.9966728687286377
112,HINDUNILVR,2022-08-05,0.9441191554069519
113,HINDUNILVR,2022-08-08,-0.9981168508529663
114,ICICIBANK,2022-08-05,0.2454693078994751
115,ICICIBANK,2022-08-06,-0.3678995966911316
116,ICICIBANK,2022-08-07,-0.8023757934570312
117,ICICIBANK,2022-08-08,0.9589431881904602
118,INDUSINDBK,2022-07-31,-0.9903547763824463
119,INDUSINDBK,2022-08-02,-0.13854211568832397
120,INDUSINDBK,2022-08-04,0.9965617060661316
121,INDUSINDBK,2022-08-05,-0.9993915557861328
122,INDUSINDBK,2022-08-08,0.98820481300354
123,INFY,2022-08-07,0.9823564529418946
124,INFY,2022-08-08,-0.926148533821106
125,INFY,2022-08-09,0.9783529788255692
126,ITC,2022-08-03,0.4637157693505287
127,ITC,2022-08-05,-0.7937653064727783
128,JSWSTEEL,2022-07-25,-0.00898975133895874
129,JSWSTEEL,2022-07-26,0.5107366442680359
130,JSWSTEEL,2022-07-28,-0.8180727362632751
131,JSWSTEEL,2022-08-03,-0.9680996835231781
132,JSWSTEEL,2022-08-08,0.995244562625885
133,JSWSTEEL,2022-08-09,-0.16861575841903687
134,KOTAKBANK,2022-08-01,0.9921177625656128
135,KOTAKBANK,2022-08-02,-0.7826035618782043
136,KOTAKBANK,2022-08-03,-0.9614606618881225
137,KOTAKBANK,2022-08-04,-0.9302849173545837
138,KOTAKBANK,2022-08-08,0.9442651271820068
139,LT,2022-08-03,0.9619160592556
140,LT,2022-08-04,0.3179846207300822
141,LT,2022-08-07,0.6194155216217041
142,LT,2022-08-08,0.9682447612285614
143,M&M,2022-08-06,0.18871986865997314
144,M&M,2022-08-08,0.5365288183093071
145,MARUTI,2022-08-02,0.5669329166412354
146,MARUTI,2022-08-03,-0.9984122514724731
147,MARUTI,2022-08-05,-0.802832156419754
148,MARUTI,2022-08-07,0.8840889692306518
149,MARUTI,2022-08-08,0.9992585778236389
150,NESTLEIND,2022-07-29,0.38807871512004305
151,NESTLEIND,2022-07-31,0.9730571210384369
152,NESTLEIND,2022-08-03,0.8675065636634827
153,NTPC,2022-08-05,0.9917226433753967
154,NTPC,2022-08-06,-0.9943698048591614
155,NTPC,2022-08-08,0.7504720017313957
156,ONGC,2022-07-29,0.8665069937705994
157,ONGC,2022-07-31,0.7621496915817261
158,ONGC,2022-08-03,0.8442822694778442
159,ONGC,2022-08-04,0.9857760369777679
160,ONGC,2022-08-05,0.9975394010543823
161,ONGC,2022-08-08,-0.8561798334121704
162,POWERGRID,2022-07-22,-0.9708200097084045
163,POWERGRID,2022-08-01,-0.9859893321990967
164,POWERGRID,2022-08-06,-0.759432852268219
165,POWERGRID,2022-08-07,-0.6521602670351664
166,POWERGRID,2022-08-08,-0.7547557353973389
167,RELIANCE,2022-08-08,0.9848950505256653
168,RELIANCE,2022-08-09,0.8436949451764425
169,SBILIFE,2022-07-29,-0.26273218128416276
170,SBILIFE,2022-08-07,0.9815261363983154
171,SBIN,2022-08-08,-0.39151825904846194
172,SBIN,2022-08-09,-0.6310770273208618
173,SHREECEM,2022-07-21,0.9988441467285156
174,SHREECEM,2022-07-28,-0.9904613296190897
175,SHREECEM,2022-07-29,-0.027810007333755493
176,SHREECEM,2022-08-02,-0.9999343156814575
177,SHREECEM,2022-08-03,-0.9545459747314453
178,SUNPHARMA,2022-07-29,0.9928448796272278
179,SUNPHARMA,2022-07-30,0.9917982816696167
180,SUNPHARMA,2022-07-31,0.9930446743965149
181,SUNPHARMA,2022-08-01,0.9144380986690521
182,SUNPHARMA,2022-08-02,-0.8739668130874634
183,SUNPHARMA,2022-08-03,-0.9756812751293182
184,TATACONSUM,2022-07-09,0.636927604675293
185,TATACONSUM,2022-07-12,-0.9861176609992981
186,TATACONSUM,2022-07-14,0.49041347205638885
187,TATACONSUM,2022-07-15,0.9976004958152771
188,TATACONSUM,2022-07-22,-0.9708200097084045
189,TATACONSUM,2022-07-27,0.7235198616981506
190,TATACONSUM,2022-08-09,0.5556765198707581
191,TATAMOTORS,2022-08-08,-0.3703528165817261
192,TATASTEEL,2022-08-01,0.981918454170227
193,TATASTEEL,2022-08-02,-0.818291038274765
194,TATASTEEL,2022-08-03,0.34756805499394733
195,TATASTEEL,2022-08-04,-0.9392625391483307
196,TATASTEEL,2022-08-07,0.07324475049972534
197,TCS,2022-08-02,-0.9317465424537659
198,TCS,2022-08-04,-0.9967414438724518
199,TCS,2022-08-05,0.7813863754272461
200,TCS,2022-08-07,0.9823564529418946
201,TCS,2022-08-09,-0.9656310677528381
202,TECHM,2022-07-27,-0.996023416519165
203,TECHM,2022-07-28,0.9282673001289368
204,TECHM,2022-07-29,0.0059919655323028564
205,TECHM,2022-08-02,-0.2305971086025238
206,TECHM,2022-08-03,-0.9545459747314453
207,TECHM,2022-08-09,0.715676486492157
208,TITAN,2022-08-07,-0.9936785101890564
209,TITAN,2022-08-08,0.37855064868927
210,ULTRACEMCO,2022-07-28,-0.01428559422492981
211,ULTRACEMCO,2022-08-01,0.9921177625656128
212,ULTRACEMCO,2022-08-02,-0.9999343156814575
213,ULTRACEMCO,2022-08-03,0.9917998909950256
214,ULTRACEMCO,2022-08-05,-0.01196378469467163
215,UPL,2022-08-01,0.8419785698254904
216,UPL,2022-08-02,-0.07531045873959859
217,UPL,2022-08-06,-0.5043108463287354
218,WIPRO,2022-07-27,0.2956530451774597
219,WIPRO,2022-07-29,0.9724666476249695
220,WIPRO,2022-07-31,0.5215781331062317
221,WIPRO,2022-08-03,0.021626055240631104
222,WIPRO,2022-08-04,0.9933356940746307
223,WIPRO,2022-08-09,0.9309354424476624
